question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
OS_001,4,Beginner,[Beginner Q-001] Which state transition occurs when a running process is preempted by the scheduler?,Running to Ready,Waiting to Ready,Ready to Terminated,Running to Waiting,option1,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_002,4,Beginner,[Beginner Q-002] What is saved in the Process Control Block (PCB) during a context switch?,CPU Registers and Program Counter,Browser session variables,Hard drive cylinder maps,Raw source code files,option1,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_003,4,Beginner,[Beginner Q-003] What is the core objective of running the Banker's Algorithm in an OS layout?,To kill active deadlocked processes.,To speed up background CPU operations.,To prevent deadlocks by ensuring a safe state flow.,To structure virtual memory pages.,option3,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_004,4,Beginner,[Beginner Q-004] What occurs during system thrashing?,The CPU hardware architecture fails.,Memory allocations turn completely read-only.,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,option3,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_005,4,Beginner,"[Beginner Q-005] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,Inode,Directory Record,FAT Entry,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_006,4,Beginner,[Beginner Q-006] Which state transition occurs when a running process is preempted by the scheduler?,Running to Waiting,Ready to Terminated,Running to Ready,Waiting to Ready,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_007,4,Beginner,[Beginner Q-007] What is saved in the Process Control Block (PCB) during a context switch?,Hard drive cylinder maps,Raw source code files,Browser session variables,CPU Registers and Program Counter,option4,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_008,4,Beginner,[Beginner Q-008] What is the core objective of running the Banker's Algorithm in an OS layout?,To kill active deadlocked processes.,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,To speed up background CPU operations.,option3,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_009,4,Beginner,[Beginner Q-009] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,The CPU hardware architecture fails.,Memory allocations turn completely read-only.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_010,4,Beginner,"[Beginner Q-010] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",FAT Entry,Master Boot Record,Directory Record,Inode,option4,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_011,4,Beginner,[Beginner Q-011] Which state transition occurs when a running process is preempted by the scheduler?,Running to Waiting,Running to Ready,Waiting to Ready,Ready to Terminated,option2,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_012,4,Beginner,[Beginner Q-012] What is saved in the Process Control Block (PCB) during a context switch?,CPU Registers and Program Counter,Raw source code files,Hard drive cylinder maps,Browser session variables,option1,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_013,4,Beginner,[Beginner Q-013] What is the core objective of running the Banker's Algorithm in an OS layout?,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,To structure virtual memory pages.,To speed up background CPU operations.,option2,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_014,4,Beginner,[Beginner Q-014] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,The CPU hardware architecture fails.,Memory allocations turn completely read-only.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_015,4,Beginner,"[Beginner Q-015] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,Inode,Directory Record,FAT Entry,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_016,4,Beginner,[Beginner Q-016] Which state transition occurs when a running process is preempted by the scheduler?,Ready to Terminated,Running to Waiting,Running to Ready,Waiting to Ready,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_017,4,Beginner,[Beginner Q-017] What is saved in the Process Control Block (PCB) during a context switch?,Raw source code files,Hard drive cylinder maps,Browser session variables,CPU Registers and Program Counter,option4,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_018,4,Beginner,[Beginner Q-018] What is the core objective of running the Banker's Algorithm in an OS layout?,To speed up background CPU operations.,To kill active deadlocked processes.,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_019,4,Beginner,[Beginner Q-019] What occurs during system thrashing?,The CPU hardware architecture fails.,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,option2,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_020,4,Beginner,"[Beginner Q-020] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Directory Record,Inode,FAT Entry,Master Boot Record,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_021,4,Beginner,[Beginner Q-021] Which state transition occurs when a running process is preempted by the scheduler?,Ready to Terminated,Running to Ready,Running to Waiting,Waiting to Ready,option2,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_022,4,Beginner,[Beginner Q-022] What is saved in the Process Control Block (PCB) during a context switch?,Browser session variables,CPU Registers and Program Counter,Hard drive cylinder maps,Raw source code files,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_023,4,Beginner,[Beginner Q-023] What is the core objective of running the Banker's Algorithm in an OS layout?,To speed up background CPU operations.,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,To structure virtual memory pages.,option3,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_024,4,Beginner,[Beginner Q-024] What occurs during system thrashing?,The OS spends more time swapping pages than executing actual instructions.,Memory allocations turn completely read-only.,The cache hit ratio reaches 100%.,The CPU hardware architecture fails.,option1,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_025,4,Beginner,"[Beginner Q-025] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,FAT Entry,Directory Record,Inode,option4,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_026,4,Beginner,[Beginner Q-026] Which state transition occurs when a running process is preempted by the scheduler?,Running to Ready,Waiting to Ready,Running to Waiting,Ready to Terminated,option1,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_027,4,Beginner,[Beginner Q-027] What is saved in the Process Control Block (PCB) during a context switch?,Browser session variables,CPU Registers and Program Counter,Hard drive cylinder maps,Raw source code files,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_028,4,Beginner,[Beginner Q-028] What is the core objective of running the Banker's Algorithm in an OS layout?,To structure virtual memory pages.,To speed up background CPU operations.,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_029,4,Beginner,[Beginner Q-029] What occurs during system thrashing?,The CPU hardware architecture fails.,The OS spends more time swapping pages than executing actual instructions.,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,option2,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_030,4,Beginner,"[Beginner Q-030] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Directory Record,FAT Entry,Inode,Master Boot Record,option3,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_031,4,Beginner,[Beginner Q-031] Which state transition occurs when a running process is preempted by the scheduler?,Waiting to Ready,Ready to Terminated,Running to Ready,Running to Waiting,option3,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_032,4,Beginner,[Beginner Q-032] What is saved in the Process Control Block (PCB) during a context switch?,CPU Registers and Program Counter,Hard drive cylinder maps,Raw source code files,Browser session variables,option1,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_033,4,Beginner,[Beginner Q-033] What is the core objective of running the Banker's Algorithm in an OS layout?,To prevent deadlocks by ensuring a safe state flow.,To structure virtual memory pages.,To kill active deadlocked processes.,To speed up background CPU operations.,option1,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_034,4,Beginner,[Beginner Q-034] What occurs during system thrashing?,Memory allocations turn completely read-only.,The cache hit ratio reaches 100%.,The OS spends more time swapping pages than executing actual instructions.,The CPU hardware architecture fails.,option3,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_035,4,Beginner,"[Beginner Q-035] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Master Boot Record,Inode,FAT Entry,Directory Record,option2,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_036,4,Beginner,[Beginner Q-036] Which state transition occurs when a running process is preempted by the scheduler?,Waiting to Ready,Running to Waiting,Ready to Terminated,Running to Ready,option4,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_037,4,Beginner,[Beginner Q-037] What is saved in the Process Control Block (PCB) during a context switch?,Hard drive cylinder maps,CPU Registers and Program Counter,Raw source code files,Browser session variables,option2,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_038,4,Beginner,[Beginner Q-038] What is the core objective of running the Banker's Algorithm in an OS layout?,To structure virtual memory pages.,To prevent deadlocks by ensuring a safe state flow.,To kill active deadlocked processes.,To speed up background CPU operations.,option2,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_039,4,Beginner,[Beginner Q-039] What occurs during system thrashing?,Memory allocations turn completely read-only.,The OS spends more time swapping pages than executing actual instructions.,The CPU hardware architecture fails.,The cache hit ratio reaches 100%.,option2,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_040,4,Beginner,"[Beginner Q-040] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",FAT Entry,Master Boot Record,Inode,Directory Record,option3,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
OS_041,4,Beginner,[Beginner Q-041] Which state transition occurs when a running process is preempted by the scheduler?,Running to Ready,Running to Waiting,Ready to Terminated,Waiting to Ready,option1,Verified evaluation concept for Process Management - Preemption confirming 'Running to Ready' as correct.,Process Management,1
OS_042,4,Beginner,[Beginner Q-042] What is saved in the Process Control Block (PCB) during a context switch?,Raw source code files,Browser session variables,CPU Registers and Program Counter,Hard drive cylinder maps,option3,Verified evaluation concept for Process Management - PCB Storage confirming 'CPU Registers and Program Counter' as correct.,Process Management,1
OS_043,4,Beginner,[Beginner Q-043] What is the core objective of running the Banker's Algorithm in an OS layout?,To structure virtual memory pages.,To speed up background CPU operations.,To kill active deadlocked processes.,To prevent deadlocks by ensuring a safe state flow.,option4,Verified evaluation concept for Deadlocks - Prevention confirming 'To prevent deadlocks by ensuring a safe state flow.' as correct.,Deadlocks,1
OS_044,4,Beginner,[Beginner Q-044] What occurs during system thrashing?,The cache hit ratio reaches 100%.,Memory allocations turn completely read-only.,The CPU hardware architecture fails.,The OS spends more time swapping pages than executing actual instructions.,option4,Verified evaluation concept for Memory Management - Thrashing confirming 'The OS spends more time swapping pages than executing actual instructions.' as correct.,Memory Management,1
OS_045,4,Beginner,"[Beginner Q-045] Which metadata file item holds access rights, sizes, and block pointers but omits the filename?",Inode,Directory Record,Master Boot Record,FAT Entry,option1,Verified evaluation concept for File Systems - Inodes confirming 'Inode' as correct.,File Systems,1
