question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
CN_001,5,Beginner,[Beginner Q-001] Which OSI layer is responsible for frame delivery and physical node-to-node links?,Data Link Layer,Transport Layer,Network Layer,Physical Layer,option1,Verified evaluation concept for Network Models - OSI Layers confirming 'Data Link Layer' as correct.,Network Models,1
CN_002,5,Beginner,"[Beginner Q-002] Which transport layer protocol guarantees connection-oriented, reliable transmission?",IP,TCP,ICMP,UDP,option2,Verified evaluation concept for Network Models - TCP vs UDP confirming 'TCP' as correct.,Network Models,1
CN_003,5,Beginner,[Beginner Q-003] What is the explicit total bit length of an IPv6 address layout?,64 bits,32 bits,128 bits,256 bits,option3,Verified evaluation concept for Network Layer - IPv6 Size confirming '128 bits' as correct.,Network Layer,1
CN_004,5,Beginner,[Beginner Q-004] Which algorithm is structurally utilized by Link-State routing protocols like OSPF?,Kruskal's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,Dijkstra's Algorithm,option4,Verified evaluation concept for Routing - Algorithms confirming 'Dijkstra's Algorithm' as correct.,Routing,1
CN_005,5,Beginner,[Beginner Q-005] What is the primary functional responsibility of the Domain Name System (DNS)?,To filter unauthorized packets.,To allocate IP addresses dynamically to client systems.,To translate domain names into matching IP addresses.,To establish encrypted tunnels over networks.,option3,Verified evaluation concept for Application Layer - DNS confirming 'To translate domain names into matching IP addresses.' as correct.,Application Layer,1
CN_006,5,Beginner,[Beginner Q-006] Which OSI layer is responsible for frame delivery and physical node-to-node links?,Network Layer,Transport Layer,Physical Layer,Data Link Layer,option4,Verified evaluation concept for Network Models - OSI Layers confirming 'Data Link Layer' as correct.,Network Models,1
CN_007,5,Beginner,"[Beginner Q-007] Which transport layer protocol guarantees connection-oriented, reliable transmission?",TCP,ICMP,IP,UDP,option1,Verified evaluation concept for Network Models - TCP vs UDP confirming 'TCP' as correct.,Network Models,1
CN_008,5,Beginner,[Beginner Q-008] What is the explicit total bit length of an IPv6 address layout?,128 bits,64 bits,32 bits,256 bits,option1,Verified evaluation concept for Network Layer - IPv6 Size confirming '128 bits' as correct.,Network Layer,1
CN_009,5,Beginner,[Beginner Q-009] Which algorithm is structurally utilized by Link-State routing protocols like OSPF?,Bellman-Ford Algorithm,Dijkstra's Algorithm,Floyd-Warshall Algorithm,Kruskal's Algorithm,option2,Verified evaluation concept for Routing - Algorithms confirming 'Dijkstra's Algorithm' as correct.,Routing,1
CN_010,5,Beginner,[Beginner Q-010] What is the primary functional responsibility of the Domain Name System (DNS)?,To translate domain names into matching IP addresses.,To allocate IP addresses dynamically to client systems.,To establish encrypted tunnels over networks.,To filter unauthorized packets.,option1,Verified evaluation concept for Application Layer - DNS confirming 'To translate domain names into matching IP addresses.' as correct.,Application Layer,1
CN_011,5,Beginner,[Beginner Q-011] Which OSI layer is responsible for frame delivery and physical node-to-node links?,Physical Layer,Network Layer,Transport Layer,Data Link Layer,option4,Verified evaluation concept for Network Models - OSI Layers confirming 'Data Link Layer' as correct.,Network Models,1
CN_012,5,Beginner,"[Beginner Q-012] Which transport layer protocol guarantees connection-oriented, reliable transmission?",TCP,IP,ICMP,UDP,option1,Verified evaluation concept for Network Models - TCP vs UDP confirming 'TCP' as correct.,Network Models,1
CN_013,5,Beginner,[Beginner Q-013] What is the explicit total bit length of an IPv6 address layout?,128 bits,64 bits,256 bits,32 bits,option1,Verified evaluation concept for Network Layer - IPv6 Size confirming '128 bits' as correct.,Network Layer,1
CN_014,5,Beginner,[Beginner Q-014] Which algorithm is structurally utilized by Link-State routing protocols like OSPF?,Kruskal's Algorithm,Floyd-Warshall Algorithm,Dijkstra's Algorithm,Bellman-Ford Algorithm,option3,Verified evaluation concept for Routing - Algorithms confirming 'Dijkstra's Algorithm' as correct.,Routing,1
CN_015,5,Beginner,[Beginner Q-015] What is the primary functional responsibility of the Domain Name System (DNS)?,To establish encrypted tunnels over networks.,To allocate IP addresses dynamically to client systems.,To filter unauthorized packets.,To translate domain names into matching IP addresses.,option4,Verified evaluation concept for Application Layer - DNS confirming 'To translate domain names into matching IP addresses.' as correct.,Application Layer,1
CN_016,5,Beginner,[Beginner Q-016] Which OSI layer is responsible for frame delivery and physical node-to-node links?,Physical Layer,Transport Layer,Network Layer,Data Link Layer,option4,Verified evaluation concept for Network Models - OSI Layers confirming 'Data Link Layer' as correct.,Network Models,1
CN_017,5,Beginner,"[Beginner Q-017] Which transport layer protocol guarantees connection-oriented, reliable transmission?",UDP,ICMP,TCP,IP,option3,Verified evaluation concept for Network Models - TCP vs UDP confirming 'TCP' as correct.,Network Models,1
CN_018,5,Beginner,[Beginner Q-018] What is the explicit total bit length of an IPv6 address layout?,256 bits,64 bits,32 bits,128 bits,option4,Verified evaluation concept for Network Layer - IPv6 Size confirming '128 bits' as correct.,Network Layer,1
CN_019,5,Beginner,[Beginner Q-019] Which algorithm is structurally utilized by Link-State routing protocols like OSPF?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Kruskal's Algorithm,Floyd-Warshall Algorithm,option1,Verified evaluation concept for Routing - Algorithms confirming 'Dijkstra's Algorithm' as correct.,Routing,1
CN_020,5,Beginner,[Beginner Q-020] What is the primary functional responsibility of the Domain Name System (DNS)?,To filter unauthorized packets.,To allocate IP addresses dynamically to client systems.,To translate domain names into matching IP addresses.,To establish encrypted tunnels over networks.,option3,Verified evaluation concept for Application Layer - DNS confirming 'To translate domain names into matching IP addresses.' as correct.,Application Layer,1
CN_021,5,Beginner,[Beginner Q-021] Which OSI layer is responsible for frame delivery and physical node-to-node links?,Network Layer,Data Link Layer,Physical Layer,Transport Layer,option2,Verified evaluation concept for Network Models - OSI Layers confirming 'Data Link Layer' as correct.,Network Models,1
CN_022,5,Beginner,"[Beginner Q-022] Which transport layer protocol guarantees connection-oriented, reliable transmission?",UDP,TCP,IP,ICMP,option2,Verified evaluation concept for Network Models - TCP vs UDP confirming 'TCP' as correct.,Network Models,1
CN_023,5,Beginner,[Beginner Q-023] What is the explicit total bit length of an IPv6 address layout?,128 bits,32 bits,256 bits,64 bits,option1,Verified evaluation concept for Network Layer - IPv6 Size confirming '128 bits' as correct.,Network Layer,1
CN_024,5,Beginner,[Beginner Q-024] Which algorithm is structurally utilized by Link-State routing protocols like OSPF?,Bellman-Ford Algorithm,Kruskal's Algorithm,Dijkstra's Algorithm,Floyd-Warshall Algorithm,option3,Verified evaluation concept for Routing - Algorithms confirming 'Dijkstra's Algorithm' as correct.,Routing,1
CN_025,5,Beginner,[Beginner Q-025] What is the primary functional responsibility of the Domain Name System (DNS)?,To allocate IP addresses dynamically to client systems.,To translate domain names into matching IP addresses.,To filter unauthorized packets.,To establish encrypted tunnels over networks.,option2,Verified evaluation concept for Application Layer - DNS confirming 'To translate domain names into matching IP addresses.' as correct.,Application Layer,1
CN_026,5,Beginner,[Beginner Q-026] Which OSI layer is responsible for frame delivery and physical node-to-node links?,Physical Layer,Transport Layer,Data Link Layer,Network Layer,option3,Verified evaluation concept for Network Models - OSI Layers confirming 'Data Link Layer' as correct.,Network Models,1
CN_027,5,Beginner,"[Beginner Q-027] Which transport layer protocol guarantees connection-oriented, reliable transmission?",IP,UDP,ICMP,TCP,option4,Verified evaluation concept for Network Models - TCP vs UDP confirming 'TCP' as correct.,Network Models,1
CN_028,5,Beginner,[Beginner Q-028] What is the explicit total bit length of an IPv6 address layout?,256 bits,64 bits,32 bits,128 bits,option4,Verified evaluation concept for Network Layer - IPv6 Size confirming '128 bits' as correct.,Network Layer,1
