student_id,subject_id,assessment_score,quiz_score,quiz_percentage,time_taken,current_level,next_level
1,4,7,4,40,306,Intermediate,Beginner
2,5,10,5,50,407,Intermediate,Intermediate
3,3,7,7,70,223,Intermediate,Intermediate
4,5,4,10,100,252,Intermediate,Intermediate
5,5,5,3,30,424,Beginner,Beginner
6,2,3,10,100,134,Advanced,Advanced
7,3,4,5,50,411,Intermediate,Intermediate
8,3,4,3,30,312,Beginner,Beginner
9,3,3,5,50,337,Beginner,Beginner
10,5,10,3,30,539,Intermediate,Beginner
11,4,5,10,100,126,Intermediate,Advanced
12,3,5,7,70,323,Intermediate,Intermediate
13,5,7,1,10,305,Advanced,Intermediate
14,2,4,9,90,183,Beginner,Intermediate
15,4,4,9,90,149,Advanced,Advanced
16,2,9,5,50,241,Intermediate,Intermediate
17,4,6,9,90,272,Intermediate,Intermediate
18,5,4,10,100,275,Advanced,Advanced
19,1,2,6,60,337,Intermediate,Intermediate
20,4,6,5,50,303,Beginner,Beginner
21,2,2,3,30,492,Advanced,Intermediate
22,5,5,8,80,262,Intermediate,Intermediate
23,4,6,4,40,494,Intermediate,Beginner
24,1,4,10,100,240,Advanced,Advanced
25,1,3,3,30,538,Intermediate,Beginner
26,3,7,6,60,325,Intermediate,Intermediate
27,3,2,8,80,188,Intermediate,Intermediate
28,2,6,9,90,214,Intermediate,Advanced
29,4,4,6,60,296,Beginner,Beginner
30,4,6,5,50,390,Advanced,Advanced
31,3,4,2,20,300,Beginner,Beginner
32,4,4,2,20,361,Intermediate,Beginner
33,4,4,9,90,273,Advanced,Advanced
34,1,9,2,20,573,Beginner,Beginner
35,3,7,2,20,347,Beginner,Beginner
36,5,3,3,30,436,Beginner,Beginner
37,3,3,3,30,300,Intermediate,Beginner
38,5,6,4,40,534,Advanced,Intermediate
39,1,6,7,70,356,Intermediate,Intermediate
40,2,4,9,90,270,Beginner,Intermediate
41,4,9,2,20,406,Intermediate,Beginner
42,1,4,4,40,472,Intermediate,Beginner
43,4,9,9,90,249,Beginner,Intermediate
44,2,4,2,20,593,Intermediate,Beginner
45,2,2,10,100,159,Beginner,Intermediate
46,1,2,1,10,315,Advanced,Intermediate
47,2,5,10,100,246,Beginner,Intermediate
48,5,4,8,80,236,Beginner,Intermediate
49,2,7,9,90,212,Advanced,Advanced
50,4,5,7,70,422,Intermediate,Intermediate
51,4,6,8,80,253,Beginner,Intermediate
52,4,10,4,40,558,Advanced,Intermediate
53,4,4,4,40,313,Intermediate,Beginner
54,5,2,2,20,365,Beginner,Beginner
55,3,10,8,80,214,Intermediate,Intermediate
56,1,9,2,20,494,Advanced,Intermediate
57,4,10,9,90,233,Intermediate,Advanced
58,2,7,4,40,458,Beginner,Beginner
59,4,4,1,10,460,Intermediate,Beginner
60,2,3,4,40,553,Intermediate,Beginner
61,2,10,3,30,314,Advanced,Intermediate
62,4,3,6,60,256,Beginner,Beginner
63,5,9,7,70,374,Intermediate,Intermediate
64,2,5,8,80,146,Beginner,Intermediate
65,2,3,2,20,311,Intermediate,Beginner
66,4,5,6,60,286,Advanced,Advanced
67,2,2,6,60,249,Beginner,Beginner
68,2,4,10,100,215,Beginner,Intermediate
69,4,10,5,50,434,Intermediate,Intermediate
70,4,2,10,100,254,Intermediate,Intermediate
71,1,2,10,100,153,Beginner,Intermediate
72,5,8,7,70,251,Intermediate,Intermediate
73,5,1,3,30,338,Advanced,Intermediate
74,2,7,4,40,505,Intermediate,Beginner
75,5,5,10,100,250,Intermediate,Intermediate
76,2,8,9,90,279,Beginner,Intermediate
77,1,1,4,40,342,Advanced,Intermediate
78,4,7,3,30,558,Beginner,Beginner
79,4,5,2,20,548,Beginner,Beginner
80,4,4,5,50,293,Beginner,Beginner
81,5,7,4,40,573,Intermediate,Beginner
82,1,10,8,80,186,Advanced,Advanced
83,5,2,7,70,322,Beginner,Beginner
84,5,1,6,60,409,Advanced,Advanced
85,1,1,2,20,437,Advanced,Intermediate
86,1,1,3,30,581,Intermediate,Beginner
87,1,5,10,100,274,Advanced,Advanced
88,1,10,9,90,141,Beginner,Intermediate
89,4,7,9,90,145,Beginner,Intermediate
90,3,2,5,50,433,Advanced,Advanced
91,3,10,3,30,372,Intermediate,Beginner
92,1,8,2,20,414,Beginner,Beginner
93,3,4,8,80,170,Intermediate,Intermediate
94,3,3,6,60,332,Advanced,Advanced
95,1,10,10,100,265,Intermediate,Intermediate
96,3,8,7,70,390,Beginner,Intermediate
97,5,2,1,10,567,Intermediate,Beginner
98,2,3,1,10,302,Advanced,Intermediate
99,2,3,10,100,239,Beginner,Intermediate
