question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
OOP_001,1,Beginner,[Beginner Q-001] What is the primary purpose of a constructor in OOP?,To destroy an object instance.,To compute memory allocation bytes.,To initialize an object's state when created.,To copy the class to another package.,option3,Verified evaluation concept for Classes and Objects - Constructors confirming 'To initialize an object's state when created.' as correct.,Classes and Objects,1
OOP_002,1,Beginner,[Beginner Q-002] Which keyword restricts visibility strictly to the defining class itself?,default,protected,public,private,option4,Verified evaluation concept for Encapsulation - Access Modifiers confirming 'private' as correct.,Encapsulation,1
OOP_003,1,Beginner,[Beginner Q-003] What structural problem arises when a subclass inherits from two parent classes with a common ancestor?,The Memory Leak Paradox,The Diamond Problem,The Stack Overflow Exception,The Dangling Pointer Problem,option2,Verified evaluation concept for Inheritance - Diamond Problem confirming 'The Diamond Problem' as correct.,Inheritance,1
OOP_004,1,Beginner,[Beginner Q-004] Which binding method resolves a call to an overridden function at runtime?,Compile-time Resolution,Dynamic Binding,Linker optimization,Static Binding,option2,Verified evaluation concept for Polymorphism - Method Overriding confirming 'Dynamic Binding' as correct.,Polymorphism,1
OOP_005,1,Beginner,[Beginner Q-005] How does an interface differ fundamentally from a standard abstract class?,Interfaces can hold non-static instance fields.,Interfaces do not support polymorphic assignments.,Interfaces are faster to execute.,A class can implement multiple interfaces but usually extends only one abstract class.,option4,Verified evaluation concept for Abstraction - Interfaces confirming 'A class can implement multiple interfaces but usually extends only one abstract class.' as correct.,Abstraction,1
OOP_006,1,Beginner,[Beginner Q-006] What is the primary purpose of a constructor in OOP?,To destroy an object instance.,To initialize an object's state when created.,To compute memory allocation bytes.,To copy the class to another package.,option2,Verified evaluation concept for Classes and Objects - Constructors confirming 'To initialize an object's state when created.' as correct.,Classes and Objects,1
OOP_007,1,Beginner,[Beginner Q-007] Which keyword restricts visibility strictly to the defining class itself?,protected,private,public,default,option2,Verified evaluation concept for Encapsulation - Access Modifiers confirming 'private' as correct.,Encapsulation,1
OOP_008,1,Beginner,[Beginner Q-008] What structural problem arises when a subclass inherits from two parent classes with a common ancestor?,The Stack Overflow Exception,The Dangling Pointer Problem,The Diamond Problem,The Memory Leak Paradox,option3,Verified evaluation concept for Inheritance - Diamond Problem confirming 'The Diamond Problem' as correct.,Inheritance,1
OOP_009,1,Beginner,[Beginner Q-009] Which binding method resolves a call to an overridden function at runtime?,Dynamic Binding,Linker optimization,Static Binding,Compile-time Resolution,option1,Verified evaluation concept for Polymorphism - Method Overriding confirming 'Dynamic Binding' as correct.,Polymorphism,1
OOP_010,1,Beginner,[Beginner Q-010] How does an interface differ fundamentally from a standard abstract class?,A class can implement multiple interfaces but usually extends only one abstract class.,Interfaces can hold non-static instance fields.,Interfaces do not support polymorphic assignments.,Interfaces are faster to execute.,option1,Verified evaluation concept for Abstraction - Interfaces confirming 'A class can implement multiple interfaces but usually extends only one abstract class.' as correct.,Abstraction,1
OOP_011,1,Beginner,[Beginner Q-011] What is the primary purpose of a constructor in OOP?,To initialize an object's state when created.,To compute memory allocation bytes.,To destroy an object instance.,To copy the class to another package.,option1,Verified evaluation concept for Classes and Objects - Constructors confirming 'To initialize an object's state when created.' as correct.,Classes and Objects,1
OOP_012,1,Beginner,[Beginner Q-012] Which keyword restricts visibility strictly to the defining class itself?,public,default,private,protected,option3,Verified evaluation concept for Encapsulation - Access Modifiers confirming 'private' as correct.,Encapsulation,1
