question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
DBMS_001,3,Beginner,[Beginner Q-001] Which rule specifies that a foreign key must match an existing primary key or be null?,Entity Integrity,User-Defined Trigger,Domain Constraint,Referential Integrity,option4,Verified evaluation concept for Relational Model - Foreign Keys confirming 'Referential Integrity' as correct.,Relational Model,1
DBMS_002,3,Beginner,[Beginner Q-002] What type of attribute values are mandatory for a relation to satisfy First Normal Form (1NF)?,Composite structures,Atomic values,Nested records,Multivalued lists,option2,Verified evaluation concept for Normalization - 1NF confirming 'Atomic values' as correct.,Normalization,1
DBMS_003,3,Beginner,"[Beginner Q-003] To satisfy Second Normal Form (2NF), a table must be in 1NF and eliminate which pattern?",Partial Functional Dependencies,Join Dependencies,Transitive Dependencies,Multi-valued relations,option1,Verified evaluation concept for Normalization - 2NF confirming 'Partial Functional Dependencies' as correct.,Normalization,1
DBMS_004,3,Beginner,[Beginner Q-004] Which SQL clause is strictly utilized alongside aggregate functions to filter output groups?,HAVING,SELECT,ORDER BY,WHERE,option1,Verified evaluation concept for SQL - Filtering Groups confirming 'HAVING' as correct.,SQL,1
DBMS_005,3,Beginner,[Beginner Q-005] Which ACID property guarantees that a transaction is executed completely or not at all?,Atomicity,Consistency,Durability,Isolation,option1,Verified evaluation concept for Transaction Management - ACID confirming 'Atomicity' as correct.,Transaction Management,1
DBMS_006,3,Beginner,[Beginner Q-006] Which rule specifies that a foreign key must match an existing primary key or be null?,Referential Integrity,User-Defined Trigger,Domain Constraint,Entity Integrity,option1,Verified evaluation concept for Relational Model - Foreign Keys confirming 'Referential Integrity' as correct.,Relational Model,1
DBMS_007,3,Beginner,[Beginner Q-007] What type of attribute values are mandatory for a relation to satisfy First Normal Form (1NF)?,Nested records,Composite structures,Multivalued lists,Atomic values,option4,Verified evaluation concept for Normalization - 1NF confirming 'Atomic values' as correct.,Normalization,1
DBMS_008,3,Beginner,"[Beginner Q-008] To satisfy Second Normal Form (2NF), a table must be in 1NF and eliminate which pattern?",Join Dependencies,Multi-valued relations,Partial Functional Dependencies,Transitive Dependencies,option3,Verified evaluation concept for Normalization - 2NF confirming 'Partial Functional Dependencies' as correct.,Normalization,1
DBMS_009,3,Beginner,[Beginner Q-009] Which SQL clause is strictly utilized alongside aggregate functions to filter output groups?,SELECT,HAVING,ORDER BY,WHERE,option2,Verified evaluation concept for SQL - Filtering Groups confirming 'HAVING' as correct.,SQL,1
DBMS_010,3,Beginner,[Beginner Q-010] Which ACID property guarantees that a transaction is executed completely or not at all?,Durability,Atomicity,Consistency,Isolation,option2,Verified evaluation concept for Transaction Management - ACID confirming 'Atomicity' as correct.,Transaction Management,1
