question_id,subject_id,difficulty,question,option1,option2,option3,option4,correct_option,explanation,topic,marks
DSA_001,2,Beginner,[Beginner Q-001] What is the worst-case time complexity of linear search on an array of size n?,O(log n),O(n log n),O(n),O(1),option3,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_002,2,Beginner,[Beginner Q-002] What is the key structural benefit of a Linked List over a static array?,Lower memory overhead per element.,Automatic sorting during insertion.,O(1) continuous random access indexing.,Dynamic size allocation and efficient insertions.,option4,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_003,2,Beginner,[Beginner Q-003] Which principal pattern does a standard stack structure strictly observe?,Random Access,"LIFO (Last-In, First-Out)","FIFO (First-In, First-Out)",Priority-based processing,option2,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_004,2,Beginner,[Beginner Q-004] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(n),O(log n),O(n log n),O(1),option2,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_005,2,Beginner,[Beginner Q-005] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Priority Queue,Stack,Queue,Min-Heap,option3,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
DSA_006,2,Beginner,[Beginner Q-006] What is the worst-case time complexity of linear search on an array of size n?,O(n log n),O(1),O(n),O(log n),option3,Verified evaluation concept for Arrays - Time Complexity confirming 'O(n)' as correct.,Arrays,1
DSA_007,2,Beginner,[Beginner Q-007] What is the key structural benefit of a Linked List over a static array?,O(1) continuous random access indexing.,Automatic sorting during insertion.,Lower memory overhead per element.,Dynamic size allocation and efficient insertions.,option4,Verified evaluation concept for Linked Lists - Dynamic Size confirming 'Dynamic size allocation and efficient insertions.' as correct.,Linked Lists,1
DSA_008,2,Beginner,[Beginner Q-008] Which principal pattern does a standard stack structure strictly observe?,Priority-based processing,"LIFO (Last-In, First-Out)",Random Access,"FIFO (First-In, First-Out)",option2,"Verified evaluation concept for Stacks - LIFO confirming 'LIFO (Last-In, First-Out)' as correct.",Stacks,1
DSA_009,2,Beginner,[Beginner Q-009] What is the average search time complexity in a perfectly balanced Binary Search Tree (BST)?,O(1),O(log n),O(n log n),O(n),option2,Verified evaluation concept for Trees - BST Search confirming 'O(log n)' as correct.,Trees,1
DSA_010,2,Beginner,[Beginner Q-010] Which data structure is fundamentally utilized to implement Breadth-First Search (BFS)?,Stack,Queue,Min-Heap,Priority Queue,option2,Verified evaluation concept for Graphs - BFS Structure confirming 'Queue' as correct.,Graphs,1
